Comparison,Group A,Group B,Mean Rank A,Mean Rank B,z-statistic,Raw p-value,Bonferroni p-value,Bonferroni threshold,Significant (Bonferroni)
MRT (Metro Rail) vs Personal Motorcycle,MRT (Metro Rail),Personal Motorcycle,118.568,130.032,-0.7632,0.4453,1.0,0.0083,No
MRT (Metro Rail) vs Public Bus,MRT (Metro Rail),Public Bus,118.568,216.392,-7.749,0.0,0.0,0.0083,Yes
MRT (Metro Rail) vs Ridesharing (Uber/Pathao),MRT (Metro Rail),Ridesharing (Uber/Pathao),118.568,137.28,-1.0879,0.2766,1.0,0.0083,No
Personal Motorcycle vs Public Bus,Personal Motorcycle,Public Bus,130.032,216.392,-5.9891,0.0,0.0,0.0083,Yes
Personal Motorcycle vs Ridesharing (Uber/Pathao),Personal Motorcycle,Ridesharing (Uber/Pathao),130.032,137.28,-0.3906,0.6961,1.0,0.0083,No
Public Bus vs Ridesharing (Uber/Pathao),Public Bus,Ridesharing (Uber/Pathao),216.392,137.28,4.7436,0.0,0.0,0.0083,Yes
