What is your family's approximate total monthly income from all sources?,"12,001 – 20,000 BDT","5,001 – 8,000 BDT","8,001 – 12,000 BDT","Less than 5,000 BDT","More than 20,000 BDT"
"1,00,001 – 1,50,000 BDT",15.8715,13.3856,9.9436,13.1944,8.605
"30,000 – 60,000 BDT",29.4013,24.7962,18.4201,24.442,15.9404
"60,001 – 1,00,000 BDT",27.8401,23.4796,17.442,23.1442,15.094
"Less than 30,000 BDT",5.2038,4.3887,3.2602,4.326,2.8213
"More than 1,50,000 BDT",4.6834,3.9498,2.9342,3.8934,2.5392
