What is your PRIMARY mode of transport?,No Change,Switch Mode,Wait,Cancel Trip
Public Bus,12.0376,33.4796,71.8495,2.6332
MRT (Metro Rail),9.6301,26.7837,57.4796,2.1066
Personal Motorcycle,6.2194,17.2978,37.1223,1.3605
Ridesharing (Uber/Pathao),4.1129,11.4389,24.5486,0.8997
