What is your family's approximate total monthly income from all sources?,Public Bus,MRT (Metro Rail),Personal Motorcycle,Ridesharing (Uber/Pathao)
"1,00,001 – 1,50,000 BDT",22.9467,18.3574,11.8558,7.8401
"30,000 – 60,000 BDT",42.5078,34.0063,21.9624,14.5235
"60,001 – 1,00,000 BDT",40.2508,32.2006,20.7962,13.7524
"Less than 30,000 BDT",7.5235,6.0188,3.8871,2.5705
"More than 1,50,000 BDT",6.7712,5.4169,3.4984,2.3135
