What is your PRIMARY mode of transport?,Yes,No
Public Bus,77.8683,42.1317
MRT (Metro Rail),62.2947,33.7053
Personal Motorcycle,40.232,21.768
Ridesharing (Uber/Pathao),26.605,14.395
