Comparison,Group A,Group B,Mean Rank A,Mean Rank B,z-statistic,Raw p-value,Bonferroni p-value,Bonferroni threshold,Significant (Bonferroni)
MRT (Metro Rail) vs Personal Motorcycle,MRT (Metro Rail),Personal Motorcycle,82.276,180.016,-6.5085,0.0,0.0,0.0083,Yes
MRT (Metro Rail) vs Public Bus,MRT (Metro Rail),Public Bus,82.276,213.004,-10.358,0.0,0.0,0.0083,Yes
MRT (Metro Rail) vs Ridesharing (Uber/Pathao),MRT (Metro Rail),Ridesharing (Uber/Pathao),82.276,156.585,-4.3213,0.0,0.0001,0.0083,Yes
Personal Motorcycle vs Public Bus,Personal Motorcycle,Public Bus,180.016,213.004,-2.2883,0.0221,0.1327,0.0083,No
Personal Motorcycle vs Ridesharing (Uber/Pathao),Personal Motorcycle,Ridesharing (Uber/Pathao),180.016,156.585,1.2629,0.2066,1.0,0.0083,No
Public Bus vs Ridesharing (Uber/Pathao),Public Bus,Ridesharing (Uber/Pathao),213.004,156.585,3.3838,0.0007,0.0043,0.0083,Yes
