What is the primary purpose of this trip?,Public Bus,MRT (Metro Rail),Personal Motorcycle,Ridesharing (Uber/Pathao)
Education (Classes/Exam),117.3668,93.8934,60.6395,40.1003
Work / Job,2.2571,1.8056,1.1661,0.7712
Personal Business,0.3762,0.3009,0.1944,0.1285
