What is your PRIMARY mode of transport?,I do not travel,I use the MRT (If available),I use a Rickshaw,I use my Personal Bike/Bicycle,I walk
Public Bus,37.9937,33.8558,17.6803,22.1944,8.2759
MRT (Metro Rail),30.395,27.0846,14.1442,17.7555,6.6207
Personal Motorcycle,19.6301,17.4922,9.1348,11.4671,4.2759
Ridesharing (Uber/Pathao),12.9812,11.5674,6.0408,7.5831,2.8276
