What is the TOTAL One-Way Cost of this trip?,Yes,No
15,1,4
20,3,9
25,1,0
30,5,6
35,0,3
40,7,13
50,6,27
55,1,2
60,14,23
65,1,5
70,10,25
75,2,1
80,7,18
85,3,1
90,0,19
95,3,0
100,45,9
110,0,3
120,0,5
130,1,0
150,3,0
170,1,0
200,1,0
205,1,0
210,0,1
220,2,1
240,1,0
250,1,0
260,2,0
270,1,0
280,2,0
284,1,0
290,1,1
300,4,0
320,2,0
330,2,0
345,1,0
350,3,0
360,0,1
370,1,0
400,2,0
